City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Darbhanga,IN,26.1667,85.9,84.24,73,99,6.53,overcast clouds
138,Qrendi,MT,35.8347,14.4583,75.11,83,20,6.91,few clouds
139,Yuncheng,CN,35.0231,110.9928,63.43,95,100,2.33,overcast clouds
140,Nantucket,US,41.2835,-70.0995,69.01,95,0,9.57,clear sky
141,Grand Gaube,MU,-20.0064,57.6608,72.0,77,12,8.01,few clouds
142,Butaritari,KI,3.0707,172.7902,82.94,75,12,10.74,light rain
143,Le Port,RE,-20.9373,55.2919,67.96,76,10,8.05,clear sky
144,Kitzingen,DE,49.7333,10.1667,63.95,90,64,3.13,broken clouds
145,Dezhou,CN,37.4486,116.2925,65.59,97,100,9.15,light rain
146,East London,ZA,-33.0153,27.9116,64.8,52,73,12.59,broken clouds
147,Itarema,BR,-2.9248,-39.9167,78.84,77,11,18.39,few clouds
148,Mahebourg,MU,-20.4081,57.7,71.89,78,75,13.8,broken clouds
149,Axim,GH,4.8699,-2.2405,75.94,89,100,4.7,light rain
150,Moquegua,PE,-17.1956,-70.9353,66.45,43,0,1.1,clear sky
151,Corlu,TR,41.1592,27.8,55.38,94,0,4.61,clear sky
152,Pareora,NZ,-44.4871,171.2132,47.17,85,100,4.56,overcast clouds
153,Port Keats,AU,-14.25,129.55,87.71,50,7,8.99,clear sky
154,Dikson,RU,73.5069,80.5464,35.44,86,100,19.22,overcast clouds
155,Bara,NG,10.3744,10.7288,71.35,91,43,6.46,scattered clouds
156,Luganville,VU,-15.5333,167.1667,78.46,84,63,11.56,broken clouds
157,Mpika,ZM,-11.8343,31.4529,58.71,70,1,5.84,clear sky
158,Esperance,AU,-33.8667,121.9,70.27,45,25,13.62,scattered clouds
159,Cockburn Town,TC,21.4612,-71.1419,83.08,72,0,9.46,clear sky
160,Vestmannaeyjar,IS,63.4427,-20.2734,41.0,75,100,5.39,overcast clouds
161,Kaitangata,NZ,-46.2817,169.8464,45.73,71,97,10.85,overcast clouds
162,Banepa,NP,27.6298,85.5214,71.92,83,40,0.0,scattered clouds
163,Jacareacanga,BR,-6.2222,-57.7528,71.04,91,86,0.6,overcast clouds
164,Terney,RU,45.0503,136.6092,66.25,53,100,3.15,overcast clouds
165,Otjiwarongo,NA,-20.4637,16.6477,63.55,17,5,4.34,clear sky
166,Porto Novo,BJ,6.4965,2.6036,73.22,89,100,3.78,light rain
167,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,0,10.36,clear sky
168,Mount Gambier,AU,-37.8333,140.7667,57.16,46,10,4.27,clear sky
169,Sibolga,ID,1.7427,98.7792,81.73,79,98,0.43,overcast clouds
170,Lasa,IT,46.6166,10.7002,60.03,94,47,2.48,scattered clouds
171,Bengkulu,ID,-3.8004,102.2655,74.39,95,100,5.99,overcast clouds
172,Krasnokamensk,RU,50.0979,118.0369,56.34,90,100,10.87,overcast clouds
173,Kirakira,SB,-10.4544,161.9205,84.42,74,54,9.98,broken clouds
174,Hambantota,LK,6.1241,81.1185,80.94,89,40,11.5,scattered clouds
175,North Bend,US,43.4065,-124.2243,59.92,94,90,5.75,overcast clouds
176,Newport,GB,51.5877,-2.9984,60.08,91,100,4.76,overcast clouds
177,Tuatapere,NZ,-46.1333,167.6833,47.82,70,77,11.25,broken clouds
178,Barrow,US,71.2906,-156.7887,26.62,86,90,4.61,overcast clouds
179,Edgecumbe,NZ,-37.9833,176.8333,64.08,85,83,4.85,light rain
180,Sri Aman,MY,1.2376,111.4621,84.25,79,20,3.44,few clouds
181,Georgetown,MY,5.4112,100.3354,85.95,73,20,6.91,few clouds
182,Pangnirtung,CA,66.1451,-65.7125,34.56,56,93,4.29,overcast clouds
183,Westport,US,41.1415,-73.3579,67.75,87,40,1.99,scattered clouds
184,Yunhe,CN,34.0833,119.7167,78.31,68,100,11.68,light rain
185,Usinsk,RU,65.9939,57.5281,37.08,75,100,7.7,overcast clouds
186,Tecoanapa,MX,16.5167,-98.75,81.18,83,100,3.69,overcast clouds
187,Koumac,NC,-20.5667,164.2833,74.71,64,24,10.16,few clouds
188,Creel,MX,27.75,-107.6333,54.21,89,33,4.59,scattered clouds
189,Nueve De Julio,AR,-35.4444,-60.8831,57.7,81,1,9.8,clear sky
190,Arlit,NE,18.7369,7.3853,85.8,13,0,7.96,clear sky
191,Lumberton,US,34.6182,-79.0086,65.21,51,24,2.86,few clouds
192,Lavrentiya,RU,65.5833,-171.0,33.22,81,99,3.02,overcast clouds
193,Dir,PK,35.2058,71.8756,67.42,60,0,4.0,clear sky
194,Charters Towers,AU,-20.1,146.2667,85.3,28,0,8.16,clear sky
195,Janauba,BR,-15.8025,-43.3089,74.71,42,0,8.12,clear sky
196,Rabo De Peixe,PT,37.8,-25.5833,71.28,84,40,10.36,scattered clouds
197,Rawson,AR,-43.3002,-65.1023,60.91,29,76,31.59,broken clouds
198,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.96,76,40,21.68,scattered clouds
199,Te Anau,NZ,-45.4167,167.7167,44.33,71,83,4.27,broken clouds
200,Olyka,UA,50.7186,25.8125,58.93,87,100,10.74,overcast clouds
201,Bethel,US,41.3712,-73.414,62.91,90,1,3.44,clear sky
202,Port Augusta,AU,-32.5,137.7667,70.7,22,3,10.69,clear sky
203,Vaini,TO,-21.2,-175.2,75.36,88,75,8.05,broken clouds
204,Teahupoo,PF,-17.8333,-149.2667,67.96,76,15,11.16,light rain
205,Muros,ES,42.7762,-9.0603,65.23,90,42,7.05,scattered clouds
206,Severo-Kurilsk,RU,50.6789,156.125,49.41,83,76,12.01,broken clouds
207,Pevek,RU,69.7008,170.3133,30.33,97,100,11.59,light snow
208,Nikolskoye,RU,59.7035,30.7861,48.09,93,100,8.61,overcast clouds
209,Ryotsu,JP,38.0833,138.4333,73.36,88,100,11.21,moderate rain
210,Sechura,PE,-5.5569,-80.8222,64.9,82,84,13.04,broken clouds
211,Jalu,LY,29.0331,21.5482,69.58,46,0,6.06,clear sky
212,Siteki,SZ,-26.45,31.95,57.74,81,4,4.54,clear sky
213,Qaanaaq,GL,77.484,-69.3632,20.3,69,98,6.49,overcast clouds
214,Piracaia,BR,-23.0539,-46.3581,64.54,96,18,3.6,few clouds
215,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.82,67,56,1.83,broken clouds
216,Airai,TL,-8.9266,125.4092,79.16,32,71,2.75,broken clouds
217,Keti Bandar,PK,24.1447,67.4497,81.7,82,40,4.63,scattered clouds
218,Alofi,NU,-19.0595,-169.9187,78.69,53,13,5.75,few clouds
219,Tanete,ID,-3.9443,119.7848,86.47,64,44,9.31,scattered clouds
220,Hithadhoo,MV,-0.6,73.0833,81.54,76,100,16.42,overcast clouds
221,Neuquen,AR,-38.9516,-68.0591,58.89,41,0,16.11,clear sky
222,Maxixe,MZ,-23.8597,35.3472,66.61,89,0,5.44,clear sky
223,Tanah Merah,MY,5.8,102.15,84.02,85,95,1.21,overcast clouds
224,Tommot,RU,58.9564,126.2925,45.57,58,98,9.55,overcast clouds
225,Gawler,AU,-34.6,138.7333,65.25,46,0,11.48,clear sky
226,Miles City,US,46.4083,-105.8406,81.57,19,1,4.61,clear sky
227,Razdolnoye,RU,43.55,131.9167,64.81,93,100,3.83,overcast clouds
228,Niquero,CU,20.0431,-77.5828,80.96,79,6,3.06,clear sky
229,Hamilton,US,39.1834,-84.5333,57.72,79,1,0.0,clear sky
230,Bridgewater,CA,44.3835,-64.5155,67.26,96,100,3.0,overcast clouds
231,Nicoya,CR,10.1483,-85.452,76.55,94,100,2.44,overcast clouds
232,Takapau,NZ,-40.0333,176.35,57.18,69,90,6.91,overcast clouds
233,Den Helder,NL,52.9599,4.7593,62.58,88,90,6.91,mist
234,Byumba,RW,-1.5763,30.0675,53.8,78,100,1.88,overcast clouds
235,Sitka,US,57.0531,-135.33,51.69,71,90,4.61,overcast clouds
236,Lebu,CL,-37.6167,-73.65,47.66,85,22,9.06,few clouds
237,Kukushtan,RU,57.6464,56.4952,47.82,66,100,11.59,light rain
238,Iralaya,HN,15.0,-83.2333,77.07,82,100,1.74,overcast clouds
239,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,10.36,clear sky
240,Inhambane,MZ,-23.865,35.3833,67.91,87,0,6.31,clear sky
241,Littleton,US,39.6133,-105.0166,77.94,29,20,1.01,few clouds
242,Challapata,BO,-18.9,-66.7667,53.24,25,0,2.68,clear sky
243,Berlevag,NO,70.8578,29.0864,46.17,87,100,10.31,overcast clouds
244,Marolambo,MG,-20.05,48.1167,62.73,98,98,1.63,light rain
245,Disna,BY,55.568,28.1971,45.97,95,70,10.87,broken clouds
246,Tilichiki,RU,60.4667,166.1,46.42,77,100,12.08,overcast clouds
247,Torbay,CA,47.6666,-52.7314,47.26,89,75,9.22,broken clouds
248,Mehamn,NO,71.0357,27.8492,46.4,86,99,15.21,overcast clouds
249,Alice Town,BS,25.7167,-79.3,83.73,69,100,9.69,overcast clouds
250,Bontang,ID,0.1333,117.5,81.1,81,46,2.91,scattered clouds
251,Codrington,AU,-38.2667,141.9667,55.92,55,37,5.46,scattered clouds
252,Narsaq,GL,60.9167,-46.05,34.02,55,0,6.6,clear sky
253,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,0,12.66,clear sky
254,Sakaiminato,JP,35.55,133.2333,75.13,83,75,6.91,broken clouds
255,Yar-Sale,RU,66.8333,70.8333,32.79,83,9,7.07,clear sky
256,Heinola,FI,61.2056,26.0381,46.49,88,84,10.45,broken clouds
257,San Luis,AR,-33.295,-66.3356,67.64,34,1,5.73,clear sky
258,Sambava,MG,-14.2667,50.1667,69.26,81,55,12.93,light rain
259,Wanning,CN,18.8003,110.3967,79.99,84,99,7.92,overcast clouds
260,Okoneshnikovo,RU,54.8377,75.0834,30.7,89,7,7.61,clear sky
261,Antalaha,MG,-14.9003,50.2788,68.65,86,46,8.63,light rain
262,Ngorongoro,TZ,-3.2397,35.4875,47.34,91,27,5.48,scattered clouds
263,Lensk,RU,60.7253,114.9278,38.21,76,100,14.18,light rain
264,San Carlos,VE,9.6612,-68.5827,72.99,96,4,2.64,clear sky
265,Amol,IR,36.4696,52.3507,70.74,87,97,1.66,overcast clouds
266,Teguise,ES,29.0605,-13.564,66.42,78,0,8.05,clear sky
267,Altay,CN,47.8667,88.1167,42.39,36,93,2.82,overcast clouds
268,Santa Rosa,PH,14.3122,121.1114,88.86,62,100,5.97,overcast clouds
269,Leh,IN,34.1667,77.5833,52.34,37,11,5.17,few clouds
270,Luziania,BR,-16.2525,-47.9503,71.29,37,91,6.64,overcast clouds
271,Banamba,ML,13.55,-7.45,77.16,70,100,4.41,overcast clouds
272,San Quintin,MX,30.4833,-115.95,68.68,82,45,12.26,scattered clouds
273,Luwero,UG,0.8492,32.4731,62.08,99,73,2.33,broken clouds
274,Imeni Poliny Osipenko,RU,52.4201,136.4853,61.63,56,46,1.32,scattered clouds
275,Faanui,PF,-16.4833,-151.75,79.21,73,0,7.7,light rain
276,Saint-Francois,FR,46.4154,3.9054,60.48,93,100,3.44,moderate rain
277,Shakiso,ET,5.75,38.9167,56.77,87,85,1.07,overcast clouds
278,Sistranda,NO,63.7256,8.834,49.96,83,100,11.68,overcast clouds
279,Hasaki,JP,35.7333,140.8333,72.28,56,99,10.6,light rain
280,Shieli,KZ,44.1667,66.75,67.21,16,12,5.93,few clouds
281,Lakhimpur,IN,27.95,80.7667,79.29,81,100,1.95,overcast clouds
282,Plouzane,FR,48.3833,-4.6167,59.32,94,75,3.44,broken clouds
283,Tigre,AR,-34.426,-58.5796,64.4,79,0,6.91,clear sky
284,Gamboma,CG,-1.8764,15.8644,73.83,79,52,2.46,broken clouds
285,Vila Velha,BR,-20.3297,-40.2925,71.55,73,75,5.75,broken clouds
286,Walvis Bay,NA,-22.9575,14.5053,54.09,100,6,8.05,clear sky
287,Lewiston,US,44.1003,-70.2148,66.54,98,90,3.44,overcast clouds
288,Roebourne,AU,-20.7833,117.1333,82.74,24,0,13.87,clear sky
289,Victoria,HK,22.2855,114.1577,86.97,76,5,1.01,light rain
290,Ust-Uda,RU,54.1742,103.0304,41.11,56,49,5.93,scattered clouds
291,Malanje,AO,-9.5402,16.341,65.89,77,7,5.91,clear sky
292,Velyka Oleksandrivka,UA,47.3197,33.3037,54.82,76,45,9.91,scattered clouds
293,Najran,SA,17.4924,44.1277,68.65,20,4,4.09,clear sky
294,Catamarca,AR,-28.4696,-65.7852,70.59,26,0,17.0,clear sky
295,Vanersborg,SE,58.3807,12.3234,49.8,99,75,3.44,fog
296,Acapulco,MX,16.8634,-99.8901,80.87,84,98,4.25,overcast clouds
297,Avarua,CK,-21.2078,-159.775,77.05,73,90,9.22,light rain
298,Gboko,NG,7.3179,8.9951,70.23,97,100,3.78,overcast clouds
299,Tateyama,JP,34.9833,139.8667,73.09,59,93,13.87,moderate rain
300,Tiksi,RU,71.6872,128.8694,33.51,85,100,20.8,overcast clouds
301,Awbari,LY,26.5921,12.7805,74.44,37,0,8.25,clear sky
302,East Stroudsburg,US,40.9995,-75.1813,61.57,93,100,2.98,overcast clouds
303,Haines Junction,CA,60.7522,-137.5108,40.95,52,100,8.05,overcast clouds
304,Outjo,NA,-20.1167,16.15,68.0,19,5,4.36,clear sky
305,Oussouye,SN,12.485,-16.5469,78.98,85,89,3.67,overcast clouds
306,Komsomolskiy,UZ,40.4272,71.7189,61.52,36,0,4.61,clear sky
307,Oshikango,NA,-17.4,15.8833,67.89,18,0,8.72,clear sky
308,Bani Walid,LY,31.7566,13.9942,66.67,77,0,5.06,clear sky
309,Sarmanovo,RU,55.2553,52.5891,45.28,80,100,2.71,overcast clouds
310,Yatou,CN,37.15,122.3833,71.01,82,100,5.68,light rain
311,Tiarei,PF,-17.5333,-149.3333,73.42,75,3,9.57,light rain
312,Danane,CI,7.2596,-8.155,70.74,100,100,1.61,light rain
313,Aklavik,CA,68.2191,-135.0107,34.52,96,100,16.64,light snow
314,Colares,PT,38.7992,-9.4469,64.33,76,100,1.01,overcast clouds
315,Leningradskiy,RU,69.3833,178.4167,30.9,77,100,5.64,overcast clouds
316,Richards Bay,ZA,-28.783,32.0377,68.13,75,7,12.33,clear sky
317,Urumqi,CN,43.801,87.6005,47.35,43,0,2.24,clear sky
318,Toora-Khem,RU,52.4675,96.11,35.13,53,100,2.82,overcast clouds
319,Chacaltianguis,MX,18.3333,-95.8333,74.46,89,38,5.28,scattered clouds
320,Floro,NO,61.5996,5.0328,57.96,82,90,9.22,overcast clouds
321,Springdale,US,36.1867,-94.1288,64.51,64,1,0.0,clear sky
322,Puerto Escondido,MX,15.85,-97.0667,78.96,93,100,7.29,overcast clouds
323,Moyale,KE,3.5167,39.0584,65.19,82,79,10.16,light rain
324,Misratah,LY,32.3754,15.0925,74.77,65,0,10.13,clear sky
325,San Julian,MX,21.0167,-102.1667,63.7,64,80,5.5,broken clouds
326,Ossora,RU,59.2353,163.0719,50.29,71,88,9.13,overcast clouds
327,Galle,LK,6.0367,80.217,80.74,85,97,15.19,overcast clouds
328,Tornio,FI,65.8481,24.1466,37.42,92,94,4.88,overcast clouds
329,Aktash,RU,50.3,87.7333,27.48,46,100,3.44,overcast clouds
330,Tairua,NZ,-37.0167,175.85,64.09,68,96,7.81,light rain
331,Inndyr,NO,67.0338,14.0276,44.94,77,94,8.75,light rain
332,Honiara,SB,-9.4333,159.95,85.06,74,86,5.3,overcast clouds
333,Kruisfontein,ZA,-34.0033,24.7314,56.61,74,7,6.85,clear sky
334,Dickinson,US,29.4608,-95.0513,77.95,74,1,5.75,clear sky
335,Guatire,VE,10.4762,-66.5427,81.1,95,21,3.36,few clouds
336,Mokolo,CM,10.7398,13.8019,71.73,71,100,4.45,overcast clouds
337,Saskylakh,RU,71.9167,114.0833,32.95,89,100,17.47,overcast clouds
338,Bergerac,FR,44.8333,0.5,62.82,100,99,3.44,light rain
339,Havoysund,NO,70.9963,24.6622,45.48,86,35,19.28,scattered clouds
340,Bukama,CD,-9.2,25.85,73.85,37,52,0.63,broken clouds
341,Padang,ID,-0.9492,100.3543,86.05,82,97,1.39,overcast clouds
342,Povenets,RU,62.8487,34.8262,47.01,93,100,7.96,light rain
343,Pacific Grove,US,36.6177,-121.9166,67.28,87,90,3.0,overcast clouds
344,Nadvirna,UA,48.6348,24.5694,50.9,77,11,7.07,few clouds
345,Norman Wells,CA,65.282,-126.8329,33.84,93,75,17.27,light snow
346,Brae,GB,60.3964,-1.353,53.51,96,72,12.62,broken clouds
347,Mogadishu,SO,2.0371,45.3438,77.56,85,86,17.69,overcast clouds
348,Constitucion,CL,-35.3333,-72.4167,50.94,91,0,7.63,clear sky
349,Aguililla,MX,18.7333,-102.7333,68.43,94,100,1.59,overcast clouds
