City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
296,Barcelona,20,ES,2021-09-25 22:16:46,87,41.3888,2.159,75.54,4.61
297,Tarragona,20,ES,2021-09-25 22:17:55,83,41.129,1.249,74.39,4.61
298,Tuatapere,69,NZ,2021-09-25 22:17:04,77,-46.1333,167.6833,44.82,8.37
299,Hohhot,20,CN,2021-09-25 22:17:55,77,40.8106,111.6522,59.29,4.47
300,Kizukuri,100,JP,2021-09-25 22:17:56,84,40.8061,140.3861,58.1,5.32
301,Chiredzi,0,ZW,2021-09-25 22:17:56,40,-21.05,31.6667,67.37,5.32
302,Lebedinyy,83,RU,2021-09-25 22:17:56,89,58.5167,125.5167,30.25,4.85
303,Christiana,9,ZA,2021-09-25 22:17:57,24,-27.914,25.1611,69.58,7.7
304,Mujiayingzi,3,CN,2021-09-25 22:17:57,86,42.1167,118.7833,55.4,4.16
305,Panaba,55,MX,2021-09-25 22:17:57,74,21.2833,-88.2667,82.06,11.68
306,Gidole,95,ET,2021-09-25 22:17:58,65,5.65,37.3667,57.87,2.28
307,Saint-Augustin,100,CA,2021-09-25 22:17:58,97,51.226,-58.6502,54.34,16.13
308,Sangar,83,RU,2021-09-25 22:17:59,91,63.9242,127.4739,33.1,4.63
309,Katherine,52,AU,2021-09-25 22:17:59,53,-14.4667,132.2667,73.72,4.61
310,Griffith,1,US,2021-09-25 22:14:55,34,41.5284,-87.4237,71.26,1.01
311,Iqaluit,90,CA,2021-09-25 22:16:28,74,63.7506,-68.5145,35.33,10.0
312,Hokitika,37,NZ,2021-09-25 22:18:00,68,-42.7167,170.9667,49.86,9.82
313,Nakhon Thai,100,TH,2021-09-25 22:18:00,99,17.1006,100.8374,73.49,3.8
314,Churapcha,100,RU,2021-09-25 22:18:00,84,62.0025,132.4325,36.68,4.5
315,Bayir,1,TR,2021-09-25 22:18:01,40,37.2687,28.2167,54.12,3.42
316,Caluquembe,85,AO,2021-09-25 22:18:01,69,-13.7833,14.6833,62.85,4.43
317,Ust-Karsk,100,RU,2021-09-25 22:15:25,77,52.7011,118.8077,52.07,7.25
318,Qarchi Gak,0,AF,2021-09-25 22:18:01,14,37.04,66.7889,60.89,4.41
319,Sept-Iles,75,CA,2021-09-25 22:18:02,91,50.2001,-66.3821,56.05,3.44
320,Campbellton,100,CA,2021-09-25 22:18:02,97,48.0075,-66.6727,58.6,3.0
321,Santander Jimenez,87,MX,2021-09-25 22:18:03,53,24.2167,-98.4667,83.89,8.72
322,Evensk,100,RU,2021-09-25 22:18:03,83,61.95,159.2333,43.93,1.32
323,Broken Hill,0,AU,2021-09-25 22:18:04,49,-31.95,141.4333,48.65,15.55
324,Dromolaxia,0,CY,2021-09-25 22:18:04,69,34.8761,33.586,72.99,6.91
325,Carnarvon,11,AU,2021-09-25 22:17:56,77,-24.8667,113.6333,64.47,8.05
326,Mogzon,100,RU,2021-09-25 22:18:05,93,51.7435,111.9606,42.39,10.49
327,Vostok,100,RU,2021-09-25 22:18:05,70,46.4856,135.8833,48.54,2.35
328,Dargaville,59,NZ,2021-09-25 22:18:06,89,-35.9333,173.8833,58.24,7.27
329,Namibe,80,AO,2021-09-25 22:15:40,86,-15.1961,12.1522,64.45,4.85
330,Port Lincoln,16,AU,2021-09-25 22:15:11,71,-34.7333,135.8667,53.56,14.05
331,Kodinsk,100,RU,2021-09-25 22:18:06,86,58.6881,99.1844,32.18,3.33
332,Panama City,20,PA,2021-09-25 22:16:29,84,8.9936,-79.5197,84.43,10.36
333,Lagoa,100,PT,2021-09-25 22:18:07,84,39.05,-27.9833,70.52,8.19
334,Gazanjyk,0,TM,2021-09-25 22:18:07,63,39.2446,55.5154,67.91,4.52
335,Umm Lajj,3,SA,2021-09-25 22:18:08,68,25.0213,37.2685,82.2,13.2
336,Acuitzio,81,MX,2021-09-25 22:18:08,43,20.345,-101.9771,78.4,7.78
337,Arraial Do Cabo,22,BR,2021-09-25 22:16:57,75,-22.9661,-42.0278,70.81,27.27
338,Sangueya,100,GN,2021-09-25 22:18:08,93,10.7,-14.3667,75.69,1.52
